PHYLUM;CLASS;ORDER;GENUS;BASE_S;BASE_STG;TOP_S;TOP_STG;RANGE_BASE;RANGE_TOP;EXT_BASE;EXT_TOP;MOBILITY;PREDATOR
Mollusca;Gastropoda;Neotaenioglossa;Spirocrypta;T;Eo-u;;;36;36;36;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spiroecus;O;Ashg-m;;;445;445;445;445;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spirogalerus;T;Mi;;;22;22;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spiroglyphus;Q;Plei;R;;1;0;1;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spiromphalus;C;Mosc-u;P;Guad-u;307;263;307;263;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spironema;K;Maes-l;;;67;67;67;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spirostylus;Tr;Anis-m;Tr;Nori;243;210;243;210;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spirgvaleia;K;Maes?;;;67;67;67;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Staphylaea;T;Mi-l;R;;20.5;0;20.5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stellaria;T;Eo;R;;52;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stelzneria;K;Ceno;;;97;97;97;97;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stenorhytis;T;Ol-l;R;*;32;0;32;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stenotis;T;Plio;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stephanocosmia;Tr;Ladi;Tr;Nori;236;210;236;210;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stephanozyga;C;Vise;P;Guad-l;337;267;337;267;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stereokion;Tr;Ladi;Tr;Carn;236;225;236;225;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stigmaulax;T;Mi-l;R;;20.5;0;20.5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stilifer;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stiracolpus;T;Plio-l;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stosicia;T;Mi-l;R;;20.5;0;20.5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strebloceras;T;Eo-m;R;;43;0;43;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Striatesta;T;Plio-l;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Striaticostatum;K;Camp-l;K;Maes;77;67;77;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Striatiscala;T;Plio;;;5;5;5;5;1;0
Mollusca;Gastropoda;Neotaenioglossa;Striocarinata;T;Mi;;;22;22;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strobeus;D;Gedi;Tr;Olen;415;246;415;246;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strombiformis;K;Maes;R;;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stromboconus;T;Eo-m;;;43;43;43;43;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strombolaria;T;Eo-l;T;Eo-m-l;53;43;53;43;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strombopugnellus;T;Ol-u;;;26;26;26;26;1;0
Mollusca;Gastropoda;Neotaenioglossa;Strombus;T;Eo-l;R;*;53;0;53;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Struthiochenopus;K;Camp;T;Mi-l;77;20.5;77;20.5;1;0
Mollusca;Gastropoda;Neotaenioglossa;Struthiolarella;T;Dani;T;Mi;63;11.2;63;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Struthiolaria;T;Ol-l;R;*;32;0;32;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Struthioptera;K;Maes;T;Eo-u;67;36;67;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sturgeonospira;C;Mosc-u;;;307;307;307;307;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stylidium;T;Eo-l;R;;53;0;53;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Stylonema;S;Ldov;D;Emsi;435;396;435;396;1;0
Mollusca;Gastropoda;Neotaenioglossa;Styloplocus;T;Eo;;;52;52;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Subclimax;T;Mi-l;T;Mi-u;20.5;7.1;20.5;7.1;1;0
Mollusca;Gastropoda;Neotaenioglossa;Subditotectarius;T;Mi-l;;;20.5;20.5;20.5;20.5;1;0
Mollusca;Gastropoda;Neotaenioglossa;Subuliscala;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Subulites;O;Cara-l;D;Gedi;453;413;453;413;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sulcocypraea;T;Than-l;T;Ol-l;57;32;57;32;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sulcogladius;T;Eo-u;T;Mi-m?;36;14.8;36;14.8;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sulconatica;Q;Plei;R;;1;0;1;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sulcosubularia;T;Mi;;;22;22;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sulcotrivia;T;Ol-l;R;;32;0;32;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sundabittium;T;Eo;;;52;52;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Supplanaxis;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Syncera;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tachyrhynchella;T;Ol-u?;T;Mi-l-l?;26;21;26;21;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tachyrhynchus;T;Ol;R;*;31;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Taieria;T;Dani;;;63;63;63;63;1;0
Mollusca;Gastropoda;Neotaenioglossa;Talostolida;T;Mi-l;R;;20.5;0;20.5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Talparia;T;Plio;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tanea;T;Eo-m-l;R;*;46;0;46;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Taniella;T;Eo-l;Q;Plei;53;1;53;1;1;0
Mollusca;Gastropoda;Neotaenioglossa;Taramellia;T;Than;R;;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tatara;T;Eo-m-l;T;Mi-l-u;46;17;46;17;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tateiwaia;T;Mi;;;22;22;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Taxonia;T;Mi-u;T;Plio-u;8;4;8;4;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tectarius;T;Eo-m;R;;43;0;43;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tectonatica;T;Dani;R;*;63;0;63;0;1;1
Mollusca;Gastropoda;Neotaenioglossa;Teinostoma;J;Kimm?;R;*;151;0;151;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tejonia;T;Eo-m-l;T;Eo-u;46;36;46;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Telescopium;K;Turo;R;*;92;0;92;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Teliochilus;J;Sine;;;194;194;194;194;1;0
Mollusca;Gastropoda;Neotaenioglossa;Teilostoma;T;Than;T;Eo-m;57;43;57;43;1;0
