"reference","reef.number","name","formation","system","series","interval","latitude","longitude","biota.main","country","collection.pbdb","remarks","authors","year","title","editors","paper","number","pages"
2358,3298,"Estancia el Carmen, Chubut ","Lefipan ","Cretaceous ","Upper Cretaceous ","upper Maastrichtian ",-42.8625,-69.8139,"Non-rudist bivalves ","Argentina ","","Oyster-reef, 4 m thick 10 wide. Only one oyster species.","Kiessling, W. ",2003,"Field data, Patagonia campaign 2003 ","  ","Unpublished ","  ","  "
2359,3300,"Arrow Canyon Range, Clark Co., Nevada ","  ","Cambrian ","Upper Cambrian ","Millardan ",36.5833,-114.9,"Microbes ","United States ","","Reef from old Trempelauan A sponge-microbialite reef horizon occurs in the upper Cambrian (Millardan) strata of the Arrow Canyon Range, Clark County, Nevada. This horizon represents one of the few metazoan reefs occurring between the extinction of the Archaeocyathids at the end of the early Cambrian and the proliferation of Calathium-sponge-microbialite reefs in the late early Ordovician. Good exposures of the reefs occur discontinuously on the western slopes of the Arrow Canyon Range. Uneven dolomitization obscures some reef structures while creating patches of well-preserved reef rock that are up to 15 m thick by 50 m wide. Some dolomitic intervals between reef mounds reveal faint reef-like textures and structures, therefore the shape and extent of the original reef(s) is uncertain. The interval may have extended into the overlying dolostone and the original reef may have formed distinct mounds larger than 50 m wide, or a single continuous biostrome over the 8 km exposure. The reef(s) show an ecological succession from basal-domal stromatolites (0.5 m wide, 1 m tall) to digitate stromatolites (5-20 cm wide, 10-20 cm high), a core of sponge-thromolite reef (3-7 m thick), and a cap layer of columnar stromatolites (20 cm w., 1-2 m h.) with attached and detrital sponges between the columns. Sponges in the core have thin walls (1-2 mm), and are broadly conical to bowl-like in shape, (5-10 cm w/h). They form a closely packed framework that is in-situ with pendent microbialites; Renalcis and Epiphyton. Age determination is currently supported by 4 conodont collections from strata underlying the reef through the reef core. Strata below the reef have Proconodontus muelleri and are assigned to that zone. Eoconodontus notchpeakensis occurs in the stromatolitic base and indicates the E. notchpeakensis Subzone of the Eoconodontus Zone. Palaeobotryllus taylori, also from the Eoconodontus Zone, occurs in the core.","Mrozek, S., Dattilo, B.F., Hicks, M., Miller J.F. ",2003,"Metazoan reefs from the Upper Cambrian of the Arrow Canyon Range, Clark County, Nevada ","  ","GSA Annual Meeting, Abstracts with Programs ","35 ","500 "
2361,3301,"Maldeota, Mussoorie Hills, Uttar Pradesh ","Krol ","Cambrian ","Lower Cambrian ","Nemakit-Daldynian ",30.35,78.1333,"Microbes ","India ","63045 ","Basal Cambrian of uppermost Krol Formation with small patch reef in irregular lenses. Two species of stromatoporoid-grade sponges and on possible calcimicrobe","Flügel, E., Singh, I.B. ",2003,"Stromatoporoid-grade and other sponge fossils from the upper Krol Formation of the Lesser Himalaya (India): Implications for the biotic evolution around the Precambrian-Cambrian boundary interval ","  ","Facies ","49 ","351-372 "
2364,3308,"Wadleigh Island, Prince of Wales Island, Alaska ","Wadleigh Limestone ","Devonian ","Middle Devonian ","Givetian ",55.5333,-133.1667,"Corals ","United States ","36592 ","Givetian part of limestone sequence with coral patch reefs","Tchudinova, I.I., Churkin, M., Jr., Eberlein, G.D. ",1974,"Devonian syringoporoid corals from southeastern Alaska ","  ","Journal of Paleontology ","48 ","125-134 "
2364,3307,"Wadleigh Island, Prince of Wales Island, Alaska ","Wadleigh Limestone ","Devonian ","Middle Devonian ","Eifelian ",55.5333,-133.1667,"Corals ","United States ","36589 ","Limestone seuquence with small coral buildups","Tchudinova, I.I., Churkin, M., Jr., Eberlein, G.D. ",1974,"Devonian syringoporoid corals from southeastern Alaska ","  ","Journal of Paleontology ","48 ","125-134 "
2364,3309,"Corandos Island, Prince of Wales Island, Alaska ","Wadleigh Limestone ","Devonian ","Upper Devonian ","Frasnian ",55.4333,-133.1,"Corals ","United States ","36597 ","Frasnian part of limestone sequence with coral patch reefs","Tchudinova, I.I., Churkin, M., Jr., Eberlein, G.D. ",1974,"Devonian syringoporoid corals from southeastern Alaska ","  ","Journal of Paleontology ","48 ","125-134 "
2365,3311,"Liptovska Osada quarry ","Raminger Limestone ","Triassic ","Middle Triassic ","Ladinian ",48.95,19.25,"Calcisponges ","Slovakia ","36647 ","8 species of sphinctozoans + Inozoa + calcareous algae (solenoporaceans, codiaceans) + microbes (stromatolite) + hydrozoans + some corals Dwellers are Brachiopods, Bivalvia, Gastropoda, Crinoidea, Echinoidea, Foraminifera, Ostracoda","Jablonsky, E. ",1973,"Triassische Sphinctozoen aus den Westkarpaten ","  ","Geologica Carpathica ","24 ","107-111 "
2365,3310,"Predhorie, Strazov-Nappe ","Wetterstein Limestone ","Triassic ","Middle Triassic ","Ladinian ",48.9167,18.4167,"Calcisponges ","Slovakia ","36642 "," ","Jablonsky, E. ",1973,"Triassische Sphinctozoen aus den Westkarpaten ","  ","Geologica Carpathica ","24 ","107-111 "
2366,3315,"Northern Bustamante Canyon, Nuevo Leon ","Cupido ","Cretaceous ","Lower Cretaceous ","Barremian ",26.5333,-100.5333,"Calcisponges ","Mexico ","0 ","Type 4 Biodetrital mounds with calcisponges, microbes and corals","Murillo-Muñetón, G., Dorobek, S. L. ",2003,"Controls on the evolution of carbonate mud mounds in the Lower Cretaceous Cupido Formation, northeastern Mexico ","  ","Journal of Sedimentary Research ","73 ","869-886 "
2366,3314,"Bustamante Canyon, Nuevo Leon ","Cupido ","Cretaceous ","Lower Cretaceous ","Barremian ",26.5333,-100.5333,"Siliceous sponges ","Mexico ","0 ","Type 3 Less than 40% microbial carbonates. In addition to calcisponges and siliceous sponges, corals (microsolenids) and alge (red and green) are recognized.","Murillo-Muñetón, G., Dorobek, S. L. ",2003,"Controls on the evolution of carbonate mud mounds in the Lower Cretaceous Cupido Formation, northeastern Mexico ","  ","Journal of Sedimentary Research ","73 ","869-886 "
